委托时间,成交时间,交易方向,成交价格,成交金额,成交额(股票数),手续费,现金余额,持仓股票数量
1726627800000,1726680600000,买入,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,5900.0142857142855,0.11733333333333328
1726680600000,1726733400000,卖出,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,6060.438095238095,0.11466666666666661
1726680600000,1726733400000,卖出,61224.489795918365,163.26530612244898,0.0026666666666666666,0.12244897959183673,6223.580952380952,0.11199999999999995
1726733400000,1726786200000,卖出,62244.897959183676,165.98639455782313,0.0026666666666666666,0.12448979591836735,6389.442857142857,0.10933333333333328
1726891800000,1726944600000,卖出,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6558.023809523809,0.10666666666666662
1726944600000,1726997400000,买入,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6389.189795918367,0.10933333333333328
1726997400000,1727050200000,卖出,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6557.770748299319,0.10666666666666662
1727103000000,1727155800000,买入,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6388.936734693877,0.10933333333333328
1727155800000,1727208600000,卖出,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6557.517687074829,0.10666666666666662
1727155800000,1727208600000,卖出,64285.71428571429,171.42857142857144,0.0026666666666666666,0.1285714285714286,6728.817687074829,0.10399999999999995
1727208600000,1727261400000,买入,64285.71428571429,171.42857142857144,0.0026666666666666666,0.1285714285714286,6557.260544217686,0.10666666666666662
1727261400000,1727314200000,买入,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6388.426530612244,0.10933333333333328
1727314200000,1727367000000,卖出,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6557.007482993196,0.10666666666666662
1727314200000,1727367000000,卖出,64285.71428571429,171.42857142857144,0.0026666666666666666,0.1285714285714286,6728.307482993197,0.10399999999999995
1727314200000,1727367000000,卖出,65306.12244897959,174.14965986394557,0.0026666666666666666,0.1306122448979592,6902.326530612244,0.10133333333333329
1727367000000,1727419800000,买入,65306.12244897959,174.14965986394557,0.0026666666666666666,0.1306122448979592,6728.0462585034,0.10399999999999995
1727419800000,1727472600000,卖出,65306.12244897959,174.14965986394557,0.0026666666666666666,0.1306122448979592,6902.0653061224475,0.10133333333333329
1727631000000,1727683800000,买入,65306.12244897959,174.14965986394557,0.0026666666666666666,0.1306122448979592,6727.785034013604,0.10399999999999995
1727683800000,1727736600000,买入,64285.71428571429,171.42857142857144,0.0026666666666666666,0.1285714285714286,6556.227891156461,0.10666666666666662
1727789400000,1727842200000,买入,62244.897959183676,165.98639455782313,0.0026666666666666666,0.12448979591836735,6390.1170068027195,0.10933333333333328
1727789400000,1727842200000,买入,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6221.282993197277,0.11199999999999995
1727842200000,1727895000000,买入,61224.489795918365,163.26530612244898,0.0026666666666666666,0.12244897959183673,6057.895238095237,0.11466666666666661
1728000600000,1728053400000,卖出,61224.489795918365,163.26530612244898,0.0026666666666666666,0.12244897959183673,6221.038095238094,0.11199999999999995
1728211800000,1728264600000,卖出,62244.897959183676,165.98639455782313,0.0026666666666666666,0.12448979591836735,6386.899999999999,0.10933333333333328
1728211800000,1728264600000,卖出,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6555.480952380951,0.10666666666666662
1728317400000,1728370200000,买入,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6386.646938775509,0.10933333333333328
1728423000000,1728475800000,买入,62244.897959183676,165.98639455782313,0.0026666666666666666,0.12448979591836735,6220.536054421767,0.11199999999999995
1728475800000,1728528600000,买入,61224.489795918365,163.26530612244898,0.0026666666666666666,0.12244897959183673,6057.148299319727,0.11466666666666661
1728634200000,1728687000000,卖出,61224.489795918365,163.26530612244898,0.0026666666666666666,0.12244897959183673,6220.291156462584,0.11199999999999995
1728634200000,1728687000000,卖出,62244.897959183676,165.98639455782313,0.0026666666666666666,0.12448979591836735,6386.153061224489,0.10933333333333328
1728845400000,1728898200000,卖出,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,6554.734013605441,0.10666666666666662
1728845400000,1728898200000,卖出,64285.71428571429,171.42857142857144,0.0026666666666666666,0.1285714285714286,6726.034013605441,0.10399999999999995
1728898200000,1728951000000,卖出,65306.12244897959,174.14965986394557,0.0026666666666666666,0.1306122448979592,6900.053061224488,0.10133333333333329
1729003800000,1729056600000,卖出,66326.5306122449,176.87074829931973,0.0026666666666666666,0.1326530612244898,7076.791156462584,0.09866666666666662
1729056600000,1729109400000,卖出,67346.9387755102,179.59183673469389,0.0026666666666666666,0.1346938775510204,7256.248299319726,0.09599999999999996
1729109400000,1729162200000,买入,67346.9387755102,179.59183673469389,0.0026666666666666666,0.1346938775510204,7076.521768707482,0.09866666666666662
1729162200000,1729215000000,卖出,67346.9387755102,179.59183673469389,0.0026666666666666666,0.1346938775510204,7255.9789115646245,0.09599999999999996
1729215000000,1729267800000,卖出,68367.3469387755,182.312925170068,0.0026666666666666666,0.13673469387755102,7438.155102040815,0.0933333333333333
1729320600000,1729373400000,买入,68367.3469387755,182.312925170068,0.0026666666666666666,0.13673469387755102,7255.70544217687,0.09599999999999996
1729373400000,1729426200000,卖出,68367.3469387755,182.312925170068,0.0026666666666666666,0.13673469387755102,7437.8816326530605,0.0933333333333333
